"Strategy Name";"WF Fitness";"WF Symbol";"WF TimeFrame";"WF Net profit";"WF Mini equity chart";"WF # of trades";"WF Profit factor";"WF Sharpe Ratio";"WF R Expectancy";"WF Annual % Return";"WF Stability";"WF Symmetry";"WF Drawdown";"WF Win/Loss ratio";"WF Ret/DD Ratio";"WF CAGR/Max DD %";"WF Avg. Win";"WF Avg. Loss";"WF Avg. Bars Win";"WF Avg. Bars Loss";"WF Avg. Bars in Trade";"WF Exposure";"WF Fitness";"WF Net profit";"WF Mini equity chart";"WF # of trades";"WF Profit factor";"WF Sharpe Ratio";"WF R Expectancy";"WF Annual % Return";"WF Stability";"WF Symmetry";"WF Drawdown";"WF Win/Loss ratio";"WF Ret/DD Ratio";"WF CAGR/Max DD %";"WF Avg. Win";"WF Avg. Loss";"WF Avg. Bars Win";"WF Avg. Bars Loss";"WF Avg. Bars in Trade";"WF Exposure"
"Strategy 0.223";"0.94";"AAPL";"M1";"416.54";"";"108077";"1.15";"2.02";"0.06";"0.32";"0.55";"44.49";"21.13";"1.11";"19.71";"1.55";"0.07";"0.07";"12.0";"11.97";"11.99";"18.84";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.58";"0.92";"AAPL";"M1";"304.07";"";"43770";"1.1";"1.4";"0.05";"0.23";"0.45";"70.16";"20.23";"1.02";"15.03";"1.15";"0.16";"0.15";"40.13";"38.37";"39.74";"24.6";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.21";"0.97";"AAPL";"M1";"298.71";"";"93355";"1.24";"2.81";"0.08";"0.23";"0.61";"62.64";"7.48";"1.2";"39.93";"3.29";"0.04";"0.04";"3.98";"3.97";"3.98";"11.19";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.102";"0.91";"AAPL";"M1";"290.71";"";"48648";"1.12";"1.16";"0.05";"0.22";"0.55";"0.0";"21.85";"1.11";"13.3";"1.05";"0.12";"0.12";"31.9";"31.82";"31.86";"18.17";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.74";"0.86";"AAPL";"M1";"279.81";"";"27978";"1.15";"1.12";"0.08";"0.22";"0.6";"52.15";"34.07";"0.71";"8.21";"0.64";"0.19";"0.12";"79.43";"58.17";"66.23";"44.47";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.11";"0.94";"AAPL";"M1";"235.51";"";"121711";"1.16";"1.83";"0.05";"0.18";"0.55";"75.06";"11.77";"1.16";"20.01";"1.5";"0.04";"0.04";"2.0";"1.99";"2.0";"5.51";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.311";"0.88";"AAPL";"M1";"194.2";"";"57116";"1.1";"0.85";"0.04";"0.15";"0.49";"9.05";"20.61";"1.08";"9.42";"0.75";"0.09";"0.09";"27.91";"27.83";"27.64";"24.04";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.276";"0.74";"AAPL";"M1";"137.55";"";"1120";"1.19";"0.39";"0.12";"0.11";"0.61";"0.0";"39.9";"0.59";"3.45";"0.28";"2.1";"1.05";"2502.0";"904.68";"1499.4";"86.37";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.251";"0.81";"AAPL";"M1";"134.14";"";"2081";"1.28";"0.42";"0.21";"0.1";"0.51";"0.0";"24.98";"0.31";"5.37";"0.4";"1.24";"0.3";"1300.67";"445.72";"649.09";"52.66";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.177";"0.91";"AAPL";"M1";"132.28";"";"24191";"1.27";"0.87";"0.09";"0.1";"0.55";"52.64";"10.2";"1.13";"12.97";"1.0";"0.07";"0.06";"20.0";"19.96";"18.49";"11.67";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.44";"0.8";"AAPL";"M1";"129.86";"";"4508";"1.12";"0.35";"0.07";"0.1";"0.63";"0.0";"25.65";"0.65";"5.06";"0.4";"0.71";"0.42";"738.94";"248.66";"440.95";"77.72";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.135";"0.79";"AAPL";"M1";"126.48";"";"652";"1.35";"0.38";"0.13";"0.1";"0.59";"0.0";"27.29";"0.5";"4.63";"0.37";"3.95";"1.47";"5309.89";"1267.13";"2481.74";"88.74";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.233";"0.7";"AAPL";"M1";"116.85";"";"1480";"1.11";"0.24";"0.07";"0.09";"0.59";"0.0";"44.21";"0.55";"2.64";"0.2";"2.15";"1.07";"1933.02";"854.45";"1239.24";"89.55";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.155";"0.86";"AAPL";"M1";"115.0";"";"18270";"1.13";"0.46";"0.05";"0.09";"0.66";"0.0";"14.27";"1.16";"8.06";"0.64";"0.11";"0.12";"29.76";"28.79";"29.38";"8.92";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.125";"0.74";"AAPL";"M1";"114.79";"";"2054";"1.16";"0.29";"0.04";"0.09";"0.39";"0.0";"33.89";"2.64";"3.39";"0.26";"0.57";"1.3";"653.12";"1339.9";"841.7";"73.07";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.63";"0.88";"AAPL";"M1";"113.77";"";"5616";"1.14";"0.42";"0.05";"0.09";"0.53";"0.0";"11.24";"0.89";"10.12";"0.82";"0.54";"0.43";"401.28";"224.04";"299.58";"62.95";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.122";"0.68";"AAPL";"M1";"113.43";"";"765";"1.15";"0.23";"0.11";"0.09";"0.68";"0.0";"49.07";"0.38";"2.31";"0.19";"4.0";"1.33";"4071.1";"1209.2";"2002.3";"94.2";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.23";"0.82";"AAPL";"M1";"110.53";"";"14003";"1.19";"0.44";"0.08";"0.09";"0.62";"44.22";"19.85";"1.11";"5.57";"0.4";"0.11";"0.1";"21.99";"21.86";"21.94";"12.78";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.258";"0.75";"AAPL";"M1";"107.04";"";"13915";"1.1";"0.29";"0.01";"0.08";"0.53";"0.0";"29.3";"0.78";"3.65";"0.28";"0.85";"0.6";"408.86";"140.42";"136.27";"64.25";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.50";"0.93";"AAPL";"M1";"101.03";"";"7949";"1.48";"0.62";"0.16";"0.08";"0.6";"26.52";"5.41";"1.45";"18.67";"1.6";"0.08";"0.08";"13.94";"13.09";"13.66";"9.0";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.73";"0.9";"AAPL";"M1";"97.27";"";"9654";"1.52";"0.66";"0.17";"0.07";"0.53";"0.0";"7.68";"1.46";"12.67";"0.88";"0.06";"0.06";"5.95";"5.9";"5.94";"1.03";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.314";"0.87";"AAPL";"M1";"96.61";"";"3304";"1.19";"0.27";"0.1";"0.07";"0.61";"0.0";"11.25";"0.95";"8.59";"0.64";"0.37";"0.3";"228.98";"194.89";"211.5";"22.68";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.270";"0.66";"AAPL";"M1";"96.35";"";"1656";"1.1";"0.15";"0.07";"0.07";"0.69";"0.0";"44.35";"0.37";"2.17";"0.16";"2.5";"0.83";"2452.15";"497.96";"1082.48";"87.84";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.253";"0.78";"AAPL";"M1";"93.81";"";"3230";"1.11";"0.17";"0.03";"0.07";"0.61";"0.0";"21.0";"0.77";"4.47";"0.33";"1.3";"0.9";"1074.32";"366.41";"599.9";"79.6";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.231";"0.95";"AAPL";"M1";"85.08";"";"3763";"1.67";"0.36";"0.23";"0.07";"0.49";"78.25";"2.94";"1.65";"28.94";"2.33";"0.11";"0.1";"19.76";"18.87";"19.5";"2.29";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.174";"0.88";"AAPL";"M1";"78.01";"";"2816";"1.36";"0.11";"0.04";"0.06";"0.63";"11.2";"8.14";"1.34";"9.58";"0.75";"0.73";"0.72";"631.56";"569.37";"344.1";"41.12";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.97";"0.97";"AAPL";"M1";"73.93";"";"2225";"2.7";"0.16";"0.83";"0.06";"0.56";"38.99";"1.44";"1.02";"51.34";"6.0";"0.12";"0.04";"40.65";"16.59";"27.96";"4.65";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.149";"0.86";"AAPL";"M1";"72.8";"";"6873";"1.22";"0.06";"0.08";"0.06";"0.61";"81.18";"9.37";"1.25";"7.77";"0.67";"0.14";"0.14";"29.61";"27.8";"26.55";"3.61";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.140";"0.91";"AAPL";"M1";"68.75";"";"9165";"1.23";"0.0";"0.09";"0.05";"0.53";"24.46";"4.94";"1.11";"13.92";"1.0";"0.09";"0.08";"25.36";"25.22";"25.12";"13.32";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.77";"0.88";"AAPL";"M1";"67.66";"";"1254";"2.26";"-0.02";"0.17";"0.05";"0.65";"56.66";"6.87";"0.92";"9.85";"0.71";"0.76";"0.31";"388.71";"78.44";"146.72";"7.58";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.245";"0.76";"AAPL";"M1";"62.48";"";"2490";"1.29";"-0.09";"0.05";"0.05";"0.48";"2.44";"16.17";"1.07";"3.86";"0.31";"0.56";"0.47";"806.52";"524.89";"447.2";"42.44";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.42";"0.94";"AAPL";"M1";"61.74";"";"1267";"3.49";"-0.21";"0.7";"0.05";"0.63";"25.82";"2.91";"2.11";"21.22";"1.67";"0.12";"0.07";"23.01";"72.59";"33.51";"1.53";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.235";"0.72";"AAPL";"M1";"57.12";"";"1640";"1.11";"-0.05";"0.07";"0.04";"0.51";"0.0";"19.27";"0.58";"2.96";"0.21";"0.93";"0.49";"1717.86";"649.82";"1038.9";"79.93";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.254";"0.65";"AAPL";"M1";"45.18";"";"605";"1.24";"-0.24";"0.08";"0.03";"0.76";"0.0";"22.06";"0.76";"2.05";"0.14";"1.6";"0.98";"3724.18";"857.57";"1931.81";"55.93";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.284";"0.79";"AAPL";"M1";"42.75";"";"405";"1.34";"-0.37";"0.13";"0.03";"0.53";"2.76";"9.25";"0.74";"4.62";"0.33";"1.45";"0.8";"2986.81";"1944.61";"2488.29";"47.36";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.108";"0.89";"AAPL";"M1";"42.27";"";"3438";"1.36";"-0.6";"0.15";"0.03";"0.57";"53.1";"3.94";"0.92";"10.73";"0.75";"0.11";"0.08";"18.23";"10.57";"13.54";"1.51";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.137";"0.78";"AAPL";"M1";"39.46";"";"1627";"1.64";"-0.9";"0.22";"0.03";"0.65";"20.05";"8.83";"1.55";"4.47";"0.33";"0.11";"0.11";"1.8";"1.84";"1.83";"0.08";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.301";"0.93";"AAPL";"M1";"38.5";"";"929";"2.54";"-1.42";"0.38";"0.03";"0.68";"75.08";"2.05";"2.61";"18.78";"1.5";"0.1";"0.11";"23.8";"23.51";"23.74";"1.59";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.171";"0.71";"AAPL";"M1";"34.17";"";"2708";"1.16";"-0.41";"0.01";"0.03";"0.51";"0.0";"11.86";"3.64";"2.88";"0.25";"0.45";"1.4";"251.47";"1889.37";"277.39";"29.64";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.86";"0.55";"AAPL";"M1";"29.5";"";"1389";"1.11";"-0.51";"0.05";"0.02";"0.76";"0.0";"26.55";"0.88";"1.11";"0.08";"0.59";"0.47";"1182.84";"558.55";"842.27";"49.24";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.61";"0.74";"AAPL";"M1";"22.29";"";"2168";"1.18";"-1.05";"0.09";"0.02";"0.63";"56.86";"6.45";"0.77";"3.46";"0.33";"0.17";"0.11";"37.79";"24.8";"30.56";"0.56";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.15";"0.63";"AAPL";"M1";"19.28";"";"690";"1.28";"-0.81";"0.04";"0.01";"0.6";"0.0";"10.91";"0.77";"1.77";"0.09";"1.25";"0.75";"1067.5";"904.23";"509.18";"15.88";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.230";"0.73";"AAPL";"M1";"18.8";"";"3180";"1.15";"-1.29";"0.07";"0.01";"0.45";"36.43";"5.96";"0.96";"3.15";"0.17";"0.11";"0.09";"13.69";"13.52";"13.66";"0.25";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.272";"0.69";"AAPL";"M1";"18.26";"";"2258";"1.17";"-1.48";"0.07";"0.01";"0.44";"47.5";"7.07";"1.01";"2.58";"0.14";"0.12";"0.11";"20.3";"19.25";"19.98";"0.39";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.126";"0.64";"AAPL";"M1";"14.27";"";"2993";"1.17";"-1.68";"0.07";"0.01";"0.88";"91.29";"7.66";"1.03";"1.86";"0.13";"0.08";"0.07";"9.9";"8.8";"8.72";"0.87";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.19";"0.55";"AAPL";"M1";"13.97";"";"457";"1.2";"-1.18";"0.1";"0.01";"0.47";"0.0";"12.22";"0.95";"1.14";"0.08";"0.4";"0.31";"20.47";"17.31";"18.97";"0.04";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.246";"0.58";"AAPL";"M1";"13.4";"";"1483";"1.12";"-1.28";"0.05";"0.01";"0.62";"38.0";"10.18";"1.08";"1.32";"0.1";"0.18";"0.17";"47.22";"44.29";"45.97";"0.48";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.156";"0.24";"AAPL";"M1";"7.35";"";"13";"3.45";"-4.0";"0.75";"0.01";"0.84";"0.0";"1.5";"2.25";"4.9";"1.0";"1.15";"0.75";"7799.78";"4653.75";"6831.77";"4.4";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.75";"0.73";"AAPL";"M1";"7.08";"";"3769";"1.14";"-4.66";"0.05";"0.01";"0.67";"0.0";"2.17";"1.14";"3.26";"0.5";"0.04";"0.04";"46.0";"45.97";"45.97";"10.93";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.57";"0.56";"AAPL";"M1";"5.21";"";"58";"2.39";"-7.15";"0.33";"0.0";"0.81";"0.0";"2.0";"3.14";"2.61";"0.0";"0.2";"0.27";"40.0";"37.43";"39.38";"0.04";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 0.43";"0.28";"AAPL";"M1";"3.16";"";"37";"1.46";"-3.3";"0.36";"0.0";"0.51";"0.0";"5.25";"0.32";"0.6";"0.0";"1.11";"0.24";"640.78";"316.79";"395.59";"0.48";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
